playerId,username,playerGalaxy,allianceId,allianz,platz,gesamt,researchRank,forschung,buildingRank,gebäude,defensiveRank,defensive,fleetRank,flotte,battlesWon,battlesLost,battlesDraw,debris Metal,debrisCrystal,untisDestroyed,unitsLost
324,klk,1,19,OnlyFrens,1,512468,9,57303,2,313816,1,87204,64,54145,1882,43,9,19034100,12784500,39901000,85743000
123,mijhiatar,1,186,ADEPTUS CUSTODES,2,504529,1,76134,3,303466,53,24668,14,100261,4462,152,18,89296800,56643600,461065000,113059000
55,atain,1,19,OnlyFrens,3,482565,2,62516,1,356701,24,32203,153,31145,1262,20,1,11395800,10866900,44758000,39947000
33,Stressor,1,19,OnlyFrens,4,402470,17,49119,30,173617,20,32991,3,146743,2809,55,9,20638500,14977500,156056000,37272000
17,Nero,1,186,ADEPTUS CUSTODES,5,394603,8,58137,4,298240,241,8397,158,29829,3898,179,19,108234300,66531900,500716000,259759000
113,Chilli,1,12,FORMIDABLE FERNICHTER,6,394290,7,59718,15,192137,78,18533,7,123902,2396,71,11,111668100,65135400,661142000,122252000
843,DerOffz,3,12,FORMIDABLE FERNICHTER,7,367289,6,59743,114,103261,140,13400,1,190885,2188,229,31,94934400,66208500,839942000,59202000
718,Cornag,2,12,FORMIDABLE FERNICHTER,8,355867,22,45945,37,156792,219,9166,4,143964,927,244,22,70160100,47527800,589533000,29221000
628,Yachiru,2,19,OnlyFrens,9,345783,31,41388,6,236859,10,42430,184,25106,427,19,0,7061400,9249300,30436000,32791000
302,bananaramaaah,1,12,FORMIDABLE FERNICHTER,10,345241,11,55366,33,160944,218,9169,8,119762,1724,119,30,53919600,38739000,381173000,47800000
135,DawnOfTheUwe,1,186,ADEPTUS CUSTODES,11,343311,12,51673,34,159696,526,2157,6,129785,3698,33,4,67455000,34033200,264779000,131464000
1108,Calyahua,3,69,Sinnlos im Weltraum,12,340895,33,40940,16,187348,1300,0,11,112607,2223,226,24,31740000,25506000,276430000,41507000
1443,Marzeal,4,79,Traumschiff Entenscheiß,13,340719,3,61760,8,217087,181,10864,75,51008,4004,50,5,12791100,7810200,51737000,21891000
